                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  15-03-2024 12:35:26:927:449                             seconds                                 10
  15-03-2024 12:35:26:927:526                       Obstacles PID                               4751
  15-03-2024 12:35:26:927:667                sent pid to watchdog                                 -
    15-03-2024 12:35:33:31:24               received watchdog pid                                 -
    15-03-2024 12:35:33:31:57                        watchdog_pid                               4755
    15-03-2024 12:35:33:31:97                       Opened socket                                 -
   15-03-2024 12:35:33:31:231                 Connected to server                                 -
   15-03-2024 12:35:33:31:255                          ID message                                 OI
   15-03-2024 12:35:33:31:302                     Sent ID message                                 -
   15-03-2024 12:35:33:87:841                             ID echo                                 OI
   15-03-2024 12:35:33:98:696                    Read window size                                 -
   15-03-2024 12:35:33:98:869               Sent window size echo                                 -
   15-03-2024 12:35:33:98:923                         Window size                     101.000,41.000
    15-03-2024 12:35:33:99:90                       window_size_x                             101.00
   15-03-2024 12:35:33:99:129                       window_size_y                              41.00
   15-03-2024 12:35:33:99:159                               max_x                                101
   15-03-2024 12:35:33:99:188                               max_y                                 41
   15-03-2024 12:35:33:99:216                   Completed 1 cycle                                 -
  15-03-2024 12:35:33:110:442                      obstacle_count                                 14
  15-03-2024 12:35:33:110:594                   Sent obstacle_pos                                 -
  15-03-2024 12:35:43:117:555                   Completed 1 cycle                                 -
  15-03-2024 12:35:43:117:636                      obstacle_count                                 14
  15-03-2024 12:35:43:117:746                   Sent obstacle_pos                                 -
  15-03-2024 12:35:44:638:470                   Received SIGTERM
                                 -
  15-03-2024 12:35:44:638:618             closing links and pipes                                 -
  15-03-2024 12:35:44:638:690               Closed network_socket                                 -
  15-03-2024 12:35:44:638:720            Closed obstacles2watchfd                                 -
  15-03-2024 12:35:44:638:744            Closed watch2obstaclesfd                                 -
  15-03-2024 12:35:44:638:765         error: network_socket close                Bad file descriptor
  15-03-2024 12:35:44:638:788                     Killing process                                 -
