                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  15-03-2024 12:35:26:930:740                         Targets PID                               4752
  15-03-2024 12:35:26:930:778                sent pid to watchdog                                 -
    15-03-2024 12:35:33:31:24               received watchdog pid                                 -
    15-03-2024 12:35:33:31:58                        watchdog_pid                               4755
    15-03-2024 12:35:33:31:97                       Opened socket                                 -
   15-03-2024 12:35:33:31:243                 Connected to server                                 -
   15-03-2024 12:35:33:31:282                          ID message                                 TI
   15-03-2024 12:35:33:31:355                     Sent ID message                                 -
   15-03-2024 12:35:33:31:748                        Read ID echo                                 -
   15-03-2024 12:35:33:31:774                             ID echo                                 TI
   15-03-2024 12:35:33:42:575                    Read window size                                 -
   15-03-2024 12:35:33:42:662               Sent window size echo                                 -
   15-03-2024 12:35:33:42:687                         Window size                     101.000,41.000
   15-03-2024 12:35:33:42:714                       window_size_x                             101.00
   15-03-2024 12:35:33:42:740                       window_size_y                              41.00
   15-03-2024 12:35:33:42:790                               max_x                                101
   15-03-2024 12:35:33:42:845                               max_y                                 41
   15-03-2024 12:35:33:42:874                        target_count                                 17
   15-03-2024 12:35:33:42:901                        targets_YPos                                 35
   15-03-2024 12:35:33:42:928                        targets_YPos                                 14
   15-03-2024 12:35:33:42:949                        targets_YPos                                 19
   15-03-2024 12:35:33:42:970                        targets_YPos                                 17
   15-03-2024 12:35:33:42:991                        targets_YPos                                 39
    15-03-2024 12:35:33:43:12                        targets_YPos                                 38
    15-03-2024 12:35:33:43:33                        targets_YPos                                 10
    15-03-2024 12:35:33:43:54                        targets_YPos                                 12
    15-03-2024 12:35:33:43:75                        targets_YPos                                 33
    15-03-2024 12:35:33:43:96                        targets_YPos                                  2
   15-03-2024 12:35:33:43:117                        targets_YPos                                  2
   15-03-2024 12:35:33:43:139                        targets_YPos                                 36
   15-03-2024 12:35:33:43:160                        targets_YPos                                 17
   15-03-2024 12:35:33:43:181                        targets_YPos                                 36
   15-03-2024 12:35:33:43:202                        targets_YPos                                  2
   15-03-2024 12:35:33:43:223                        targets_YPos                                 11
   15-03-2024 12:35:33:43:245                        targets_YPos                                  7
   15-03-2024 12:35:33:43:266                        targets_YPos                                  0
   15-03-2024 12:35:33:43:286                        targets_YPos                                  0
   15-03-2024 12:35:33:43:328                        targets_YPos                                  0
   15-03-2024 12:35:33:43:356             Finished target ycoords                                 -
   15-03-2024 12:35:33:43:402                        targets_XPos                                 46
   15-03-2024 12:35:33:43:438                        targets_XPos                                 34
   15-03-2024 12:35:33:43:460                        targets_XPos                                 25
   15-03-2024 12:35:33:43:481                        targets_XPos                                 17
   15-03-2024 12:35:33:43:501                        targets_XPos                                 61
   15-03-2024 12:35:33:43:522                        targets_XPos                                 44
   15-03-2024 12:35:33:43:543                        targets_XPos                                 98
   15-03-2024 12:35:33:43:564                        targets_XPos                                 24
   15-03-2024 12:35:33:43:585                        targets_XPos                                 78
   15-03-2024 12:35:33:43:606                        targets_XPos                                  6
   15-03-2024 12:35:33:43:627                        targets_XPos                                 73
   15-03-2024 12:35:33:43:647                        targets_XPos                                 23
   15-03-2024 12:35:33:43:668                        targets_XPos                                 54
   15-03-2024 12:35:33:43:689                        targets_XPos                                 47
   15-03-2024 12:35:33:43:711                        targets_XPos                                  7
   15-03-2024 12:35:33:43:732                        targets_XPos                                 50
   15-03-2024 12:35:33:43:753                        targets_XPos                                 13
   15-03-2024 12:35:33:43:774                        targets_XPos                                  0
   15-03-2024 12:35:33:43:795                        targets_XPos                                  0
   15-03-2024 12:35:33:43:816                        targets_XPos                                  0
   15-03-2024 12:35:33:43:837             Finished target xcoords                                 -
   15-03-2024 12:35:33:43:879               Sent target positions                                 -
   15-03-2024 12:35:33:87:198                Read target_pos echo                                 -
   15-03-2024 12:35:33:87:274                   Completed 1 cycle                                 -
  15-03-2024 12:35:33:199:212                   Completed 1 cycle                                 -
  15-03-2024 12:35:33:300:378                   Completed 1 cycle                                 -
  15-03-2024 12:35:33:401:309                   Completed 1 cycle                                 -
  15-03-2024 12:35:33:502:760                   Completed 1 cycle                                 -
  15-03-2024 12:35:33:603:872                   Completed 1 cycle                                 -
  15-03-2024 12:35:33:704:914                   Completed 1 cycle                                 -
  15-03-2024 12:35:33:805:729                   Completed 1 cycle                                 -
  15-03-2024 12:35:33:906:559                   Completed 1 cycle                                 -
    15-03-2024 12:35:34:6:839                   Completed 1 cycle                                 -
  15-03-2024 12:35:34:107:887                   Completed 1 cycle                                 -
  15-03-2024 12:35:34:208:435                   Completed 1 cycle                                 -
  15-03-2024 12:35:34:308:852                   Completed 1 cycle                                 -
  15-03-2024 12:35:34:409:539                   Completed 1 cycle                                 -
  15-03-2024 12:35:34:510:793                   Completed 1 cycle                                 -
    15-03-2024 12:35:34:611:7                   Completed 1 cycle                                 -
  15-03-2024 12:35:34:711:666                   Completed 1 cycle                                 -
  15-03-2024 12:35:34:812:428                   Completed 1 cycle                                 -
  15-03-2024 12:35:34:913:623                   Completed 1 cycle                                 -
   15-03-2024 12:35:35:14:155                   Completed 1 cycle                                 -
  15-03-2024 12:35:35:115:102                   Completed 1 cycle                                 -
  15-03-2024 12:35:35:215:800                   Completed 1 cycle                                 -
  15-03-2024 12:35:35:316:154                   Completed 1 cycle                                 -
   15-03-2024 12:35:35:417:51                   Completed 1 cycle                                 -
