                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  15-03-2024 12:58:30:911:274                              UI_PID                              10721
  15-03-2024 12:58:30:911:442                sent pid to watchdog                                 -
  15-03-2024 12:58:36:743:963               received watchdog pid                                 -
  15-03-2024 12:58:36:744:172                        watchdog_pid                              10712
  15-03-2024 12:58:36:748:682                 initialised ncurses                                 -
  15-03-2024 12:58:36:749:191                        initial xMax                                 55
  15-03-2024 12:58:36:749:299                        initial yMax                                203
  15-03-2024 12:58:36:749:398                           droneMaxY                                201
  15-03-2024 12:58:36:749:495                           droneMaxX                                 27
  15-03-2024 12:58:36:865:751                          user input                                 -1
  15-03-2024 12:58:36:865:848                            yMax_now                                203
  15-03-2024 12:58:36:865:876                            xMax_now                                 55
  15-03-2024 12:58:36:866:270                 Pipe_dronePositionY                                 15
  15-03-2024 12:58:36:866:302                 Pipe_dronePositionX                                 15
  15-03-2024 12:58:36:866:328          Received obstacles ycoords                                 -
  15-03-2024 12:58:36:866:354          Received obstacles xcoords                                 -
  15-03-2024 12:58:36:866:378           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:401           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:424           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:448           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:497           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:523           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:548           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:572           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:595           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:646           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:672           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:695           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:765           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:791           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:920           Drone and target coincide                                 -
  15-03-2024 12:58:36:866:978           Drone and target coincide                                 -
