                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
    17-03-2024 17:37:33:69:26                           Drone PID                              23923
    17-03-2024 17:37:33:69:90                sent pid to watchdog                                 -
  17-03-2024 17:37:39:173:557               received watchdog pid                                 -
  17-03-2024 17:37:39:173:615                        watchdog_pid                              23926
  17-03-2024 17:37:39:184:157                            keyvalue                                  0
  17-03-2024 17:37:39:184:205          Received obstacles ycoords                                 -
  17-03-2024 17:37:39:184:239          Received obstacles ycoords                                 -
  17-03-2024 17:37:39:184:304                           Magnitude                               0.00
  17-03-2024 17:37:39:184:346                               Angle                               0.00
  17-03-2024 17:37:39:184:376                           Magnitude                               0.00
  17-03-2024 17:37:39:184:406                               Angle                               0.00
  17-03-2024 17:37:39:184:436                           Magnitude                               0.00
  17-03-2024 17:37:39:184:466                               Angle                               0.00
  17-03-2024 17:37:39:184:496                           Magnitude                               0.00
  17-03-2024 17:37:39:184:526                               Angle                               0.00
  17-03-2024 17:37:39:184:555                           Magnitude                               0.00
  17-03-2024 17:37:39:184:585                               Angle                               0.00
  17-03-2024 17:37:39:184:614                           Magnitude                               0.00
  17-03-2024 17:37:39:184:644                               Angle                               0.00
  17-03-2024 17:37:39:184:673                           Magnitude                               0.00
  17-03-2024 17:37:39:184:702                               Angle                               0.00
  17-03-2024 17:37:39:184:732                           Magnitude                               0.00
  17-03-2024 17:37:39:184:794                               Angle                               0.00
  17-03-2024 17:37:39:184:957                           Magnitude                               0.00
  17-03-2024 17:37:39:184:987                               Angle                               0.00
   17-03-2024 17:37:39:185:17                           Magnitude                               0.00
   17-03-2024 17:37:39:185:47                               Angle                               0.00
   17-03-2024 17:37:39:185:77                           Magnitude                               0.00
  17-03-2024 17:37:39:185:107                               Angle                               0.00
  17-03-2024 17:37:39:185:137                           Magnitude                               0.00
  17-03-2024 17:37:39:185:167                               Angle                               0.00
  17-03-2024 17:37:39:185:196                           Magnitude                               0.00
  17-03-2024 17:37:39:185:226                               Angle                               0.00
  17-03-2024 17:37:39:185:256                           Magnitude                               0.00
  17-03-2024 17:37:39:185:285                               Angle                               0.00
  17-03-2024 17:37:39:185:314                           Magnitude                               0.00
  17-03-2024 17:37:39:185:344                               Angle                               0.00
  17-03-2024 17:37:39:185:374                           Magnitude                               0.00
  17-03-2024 17:37:39:185:403                               Angle                               0.00
  17-03-2024 17:37:39:185:432                           Magnitude                               0.00
  17-03-2024 17:37:39:185:479                               Angle                               0.00
  17-03-2024 17:37:39:185:509                           Magnitude                               0.00
  17-03-2024 17:37:39:185:538                               Angle                               0.00
  17-03-2024 17:37:39:185:568                           Magnitude                               0.00
  17-03-2024 17:37:39:185:597                               Angle                               0.00
  17-03-2024 17:37:39:185:626                           Magnitude                               0.00
  17-03-2024 17:37:39:185:656                               Angle                               0.00
  17-03-2024 17:37:39:185:685                           Magnitude                               0.00
  17-03-2024 17:37:39:185:714                               Angle                               0.00
  17-03-2024 17:37:39:185:764                           Magnitude                               0.00
  17-03-2024 17:37:39:185:801                               Angle                               0.00
  17-03-2024 17:37:39:185:831                           Magnitude                               0.00
  17-03-2024 17:37:39:185:861                               Angle                               0.00
  17-03-2024 17:37:39:185:891                           Magnitude                               0.00
  17-03-2024 17:37:39:185:920                               Angle                               0.00
  17-03-2024 17:37:39:185:952                      DronePositionX                                 15
  17-03-2024 17:37:39:185:982                      DronePositionY                                 15
   17-03-2024 17:37:39:186:12                dronePositionChangeX                                  0
   17-03-2024 17:37:39:186:42                dronePositionChangeY                                  0
   17-03-2024 17:37:39:186:72                              ForceY                                  0
  17-03-2024 17:37:39:186:100                              ForceX                                  0
  17-03-2024 17:37:39:386:220                            keyvalue                                 -1
  17-03-2024 17:37:39:386:309          Received obstacles ycoords                                 -
  17-03-2024 17:37:39:386:345          Received obstacles ycoords                                 -
  17-03-2024 17:37:39:386:381                           Magnitude                               0.00
  17-03-2024 17:37:39:386:414                               Angle                               0.00
  17-03-2024 17:37:39:386:444                           Magnitude                               0.00
  17-03-2024 17:37:39:386:474                               Angle                               0.00
  17-03-2024 17:37:39:386:505                           Magnitude                               0.00
  17-03-2024 17:37:39:386:536                               Angle                               0.00
  17-03-2024 17:37:39:386:567                           Magnitude                               0.00
  17-03-2024 17:37:39:386:596                               Angle                               0.00
  17-03-2024 17:37:39:386:627                           Magnitude                               0.00
  17-03-2024 17:37:39:386:657                               Angle                               0.00
  17-03-2024 17:37:39:386:686                           Magnitude                               0.00
  17-03-2024 17:37:39:386:715                               Angle                               0.00
  17-03-2024 17:37:39:386:745                           Magnitude                               0.00
  17-03-2024 17:37:39:386:774                               Angle                               0.00
  17-03-2024 17:37:39:386:803                           Magnitude                               0.00
  17-03-2024 17:37:39:386:832                               Angle                               0.00
  17-03-2024 17:37:39:386:862                           Magnitude                               0.00
  17-03-2024 17:37:39:386:907                               Angle                               0.00
  17-03-2024 17:37:39:386:938                           Magnitude                               0.00
  17-03-2024 17:37:39:386:967                               Angle                               0.00
  17-03-2024 17:37:39:386:997                           Magnitude                               0.00
   17-03-2024 17:37:39:387:27                               Angle                               0.00
   17-03-2024 17:37:39:387:56                           Magnitude                               0.00
   17-03-2024 17:37:39:387:86                               Angle                               0.00
  17-03-2024 17:37:39:387:136                           Magnitude                               0.00
  17-03-2024 17:37:39:387:173                               Angle                               0.00
  17-03-2024 17:37:39:387:203                           Magnitude                               0.00
  17-03-2024 17:37:39:387:233                               Angle                               0.00
  17-03-2024 17:37:39:387:263                           Magnitude                               0.00
  17-03-2024 17:37:39:387:293                               Angle                               0.00
  17-03-2024 17:37:39:387:322                           Magnitude                               0.00
  17-03-2024 17:37:39:387:352                               Angle                               0.00
  17-03-2024 17:37:39:387:381                           Magnitude                               0.00
