                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
   17-03-2024 17:37:33:242:42                       Opened socket                                 -
  17-03-2024 17:37:33:242:390           Server binding successful                                 -
  17-03-2024 17:37:33:242:608            Server listen successful                                 -
  17-03-2024 17:37:33:242:797                sent pid to watchdog                                 -
  17-03-2024 17:37:39:173:557               received watchdog pid                                 -
  17-03-2024 17:37:39:173:615                        watchdog_pid                              23926
  17-03-2024 17:37:39:183:845                     keypressedValue                                  0
  17-03-2024 17:37:39:183:928                      dronePositionY                                 15
  17-03-2024 17:37:39:183:962                      dronePositionX                                 15
  17-03-2024 17:37:39:284:673            Server performed 1 cycle                                 -
  17-03-2024 17:37:39:284:777                     keypressedValue                                 -1
  17-03-2024 17:37:39:284:812                      dronePositionY                                 15
  17-03-2024 17:37:39:284:842                      dronePositionX                                 15
  17-03-2024 17:37:39:385:771            Server performed 1 cycle                                 -
  17-03-2024 17:37:39:385:893                     keypressedValue                                 -1
  17-03-2024 17:37:39:385:928                      dronePositionY                                 15
  17-03-2024 17:37:39:385:959                      dronePositionX                                 15
  17-03-2024 17:37:39:486:224            Server performed 1 cycle                                 -
  17-03-2024 17:37:39:488:760                     keypressedValue                                 -1
  17-03-2024 17:37:39:488:838                      dronePositionY                                 15
  17-03-2024 17:37:39:488:872                      dronePositionX                                 15
  17-03-2024 17:37:39:589:208            Server performed 1 cycle                                 -
  17-03-2024 17:37:39:589:331                     keypressedValue                                 -1
  17-03-2024 17:37:39:589:365                      dronePositionY                                 15
  17-03-2024 17:37:39:589:396                      dronePositionX                                 15
  17-03-2024 17:37:39:690:150            Server performed 1 cycle                                 -
  17-03-2024 17:37:39:690:274                     keypressedValue                                 -1
  17-03-2024 17:37:39:690:309                      dronePositionY                                 15
  17-03-2024 17:37:39:690:340                      dronePositionX                                 15
  17-03-2024 17:37:39:790:840            Server performed 1 cycle                                 -
  17-03-2024 17:37:39:790:962                     keypressedValue                                 -1
  17-03-2024 17:37:39:790:997                      dronePositionY                                 15
   17-03-2024 17:37:39:791:28                      dronePositionX                                 15
  17-03-2024 17:37:39:891:395            Server performed 1 cycle                                 -
  17-03-2024 17:37:39:891:511                     keypressedValue                                 -1
  17-03-2024 17:37:39:891:546                      dronePositionY                                 15
  17-03-2024 17:37:39:891:576                      dronePositionX                                 15
   17-03-2024 17:37:39:992:54            Server performed 1 cycle                                 -
  17-03-2024 17:37:39:992:162                     keypressedValue                                 -1
  17-03-2024 17:37:39:992:197                      dronePositionY                                 15
  17-03-2024 17:37:39:992:243                      dronePositionX                                 15
   17-03-2024 17:37:40:92:667            Server performed 1 cycle                                 -
   17-03-2024 17:37:40:92:777                     keypressedValue                                 -1
   17-03-2024 17:37:40:92:812                      dronePositionY                                 15
   17-03-2024 17:37:40:92:842                      dronePositionX                                 15
  17-03-2024 17:37:40:193:528            Server performed 1 cycle                                 -
  17-03-2024 17:37:40:193:635                     keypressedValue                                 -1
  17-03-2024 17:37:40:193:668                      dronePositionY                                 15
  17-03-2024 17:37:40:193:698                      dronePositionX                                 15
  17-03-2024 17:37:40:294:135            Server performed 1 cycle                                 -
  17-03-2024 17:37:40:294:243                     keypressedValue                                 -1
  17-03-2024 17:37:40:294:277                      dronePositionY                                 15
  17-03-2024 17:37:40:294:307                      dronePositionX                                 15
  17-03-2024 17:37:40:394:892            Server performed 1 cycle                                 -
  17-03-2024 17:37:40:397:253                     keypressedValue                                 -1
  17-03-2024 17:37:40:397:333                      dronePositionY                                 15
  17-03-2024 17:37:40:397:366                      dronePositionX                                 15
  17-03-2024 17:37:40:498:274            Server performed 1 cycle                                 -
  17-03-2024 17:37:40:498:378                     keypressedValue                                 -1
  17-03-2024 17:37:40:498:412                      dronePositionY                                 15
  17-03-2024 17:37:40:498:442                      dronePositionX                                 15
  17-03-2024 17:37:40:598:964            Server performed 1 cycle                                 -
   17-03-2024 17:37:40:599:70                     keypressedValue                                 -1
  17-03-2024 17:37:40:599:104                      dronePositionY                                 15
  17-03-2024 17:37:40:599:134                      dronePositionX                                 15
   17-03-2024 17:37:40:700:22            Server performed 1 cycle                                 -
  17-03-2024 17:37:40:700:148                     keypressedValue                                 -1
  17-03-2024 17:37:40:700:192                      dronePositionY                                 15
  17-03-2024 17:37:40:700:237                      dronePositionX                                 15
  17-03-2024 17:37:40:801:434            Server performed 1 cycle                                 -
  17-03-2024 17:37:40:801:554                     keypressedValue                                 -1
  17-03-2024 17:37:40:801:590                      dronePositionY                                 15
  17-03-2024 17:37:40:801:620                      dronePositionX                                 15
  17-03-2024 17:37:40:902:354            Server performed 1 cycle                                 -
  17-03-2024 17:37:40:902:468                     keypressedValue                                 -1
  17-03-2024 17:37:40:902:502                      dronePositionY                                 15
  17-03-2024 17:37:40:902:532                      dronePositionX                                 15
    17-03-2024 17:37:41:3:559            Server performed 1 cycle                                 -
    17-03-2024 17:37:41:3:672                     keypressedValue                                 -1
    17-03-2024 17:37:41:3:707                      dronePositionY                                 15
    17-03-2024 17:37:41:3:737                      dronePositionX                                 15
  17-03-2024 17:37:41:104:749            Server performed 1 cycle                                 -
  17-03-2024 17:37:41:104:854                     keypressedValue                                 -1
  17-03-2024 17:37:41:104:888                      dronePositionY                                 15
  17-03-2024 17:37:41:104:918                      dronePositionX                                 15
  17-03-2024 17:37:41:205:159            Server performed 1 cycle                                 -
  17-03-2024 17:37:41:205:281                     keypressedValue                                 -1
  17-03-2024 17:37:41:205:316                      dronePositionY                                 15
  17-03-2024 17:37:41:205:345                      dronePositionX                                 15
  17-03-2024 17:37:41:305:994            Server performed 1 cycle                                 -
   17-03-2024 17:37:41:306:85                     keypressedValue                                 -1
  17-03-2024 17:37:41:306:130                      dronePositionY                                 15
  17-03-2024 17:37:41:306:177                      dronePositionX                                 15
  17-03-2024 17:37:41:406:928            Server performed 1 cycle                                 -
   17-03-2024 17:37:41:407:39                     keypressedValue                                 -1
   17-03-2024 17:37:41:407:73                      dronePositionY                                 15
  17-03-2024 17:37:41:407:103                      dronePositionX                                 15
   17-03-2024 17:37:41:508:97            Server performed 1 cycle                                 -
  17-03-2024 17:37:41:508:210                     keypressedValue                                 -1
  17-03-2024 17:37:41:508:245                      dronePositionY                                 15
  17-03-2024 17:37:41:508:275                      dronePositionX                                 15
  17-03-2024 17:37:41:608:775            Server performed 1 cycle                                 -
  17-03-2024 17:37:41:608:886                     keypressedValue                                 -1
  17-03-2024 17:37:41:608:920                      dronePositionY                                 15
  17-03-2024 17:37:41:608:950                      dronePositionX                                 15
  17-03-2024 17:37:41:709:535            Server performed 1 cycle                                 -
  17-03-2024 17:37:41:709:651                     keypressedValue                                 -1
  17-03-2024 17:37:41:709:686                      dronePositionY                                 15
  17-03-2024 17:37:41:709:716                      dronePositionX                                 15
  17-03-2024 17:37:41:810:212            Server performed 1 cycle                                 -
  17-03-2024 17:37:41:810:325                     keypressedValue                                 -1
  17-03-2024 17:37:41:810:359                      dronePositionY                                 15
  17-03-2024 17:37:41:810:389                      dronePositionX                                 15
  17-03-2024 17:37:41:910:947            Server performed 1 cycle                                 -
   17-03-2024 17:37:41:911:93                     keypressedValue                                 -1
  17-03-2024 17:37:41:911:150                      dronePositionY                                 15
  17-03-2024 17:37:41:911:200                      dronePositionX                                 15
   17-03-2024 17:37:42:12:217            Server performed 1 cycle                                 -
   17-03-2024 17:37:42:12:326                     keypressedValue                                 -1
   17-03-2024 17:37:42:12:360                      dronePositionY                                 15
   17-03-2024 17:37:42:12:390                      dronePositionX                                 15
  17-03-2024 17:37:42:112:819            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:112:907                     keypressedValue                                 -1
   17-03-2024 17:37:42:113:59                      dronePositionY                                 15
  17-03-2024 17:37:42:113:105                      dronePositionX                                 15
   17-03-2024 17:37:42:214:91            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:214:234                     keypressedValue                                 -1
  17-03-2024 17:37:42:214:269                      dronePositionY                                 15
  17-03-2024 17:37:42:214:300                      dronePositionX                                 15
  17-03-2024 17:37:42:314:813            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:314:955                     keypressedValue                                 -1
  17-03-2024 17:37:42:314:992                      dronePositionY                                 15
   17-03-2024 17:37:42:315:24                      dronePositionX                                 15
  17-03-2024 17:37:42:415:639            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:415:760                     keypressedValue                                 -1
  17-03-2024 17:37:42:415:794                      dronePositionY                                 15
  17-03-2024 17:37:42:415:824                      dronePositionX                                 15
   17-03-2024 17:37:42:517:39            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:517:194                     keypressedValue                                 -1
  17-03-2024 17:37:42:517:246                      dronePositionY                                 15
  17-03-2024 17:37:42:517:295                      dronePositionX                                 15
  17-03-2024 17:37:42:617:718            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:617:827                     keypressedValue                                 -1
  17-03-2024 17:37:42:617:863                      dronePositionY                                 15
  17-03-2024 17:37:42:617:893                      dronePositionX                                 15
  17-03-2024 17:37:42:718:194            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:718:259                     keypressedValue                                 -1
  17-03-2024 17:37:42:718:291                      dronePositionY                                 15
  17-03-2024 17:37:42:718:320                      dronePositionX                                 15
  17-03-2024 17:37:42:818:647            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:818:751                     keypressedValue                                 -1
  17-03-2024 17:37:42:818:785                      dronePositionY                                 15
  17-03-2024 17:37:42:818:815                      dronePositionX                                 15
  17-03-2024 17:37:42:919:869            Server performed 1 cycle                                 -
  17-03-2024 17:37:42:919:984                     keypressedValue                                 -1
   17-03-2024 17:37:42:920:18                      dronePositionY                                 15
   17-03-2024 17:37:42:920:50                      dronePositionX                                 15
   17-03-2024 17:37:43:20:472            Server performed 1 cycle                                 -
   17-03-2024 17:37:43:20:586                     keypressedValue                                 -1
   17-03-2024 17:37:43:20:623                      dronePositionY                                 15
   17-03-2024 17:37:43:20:652                      dronePositionX                                 15
   17-03-2024 17:37:43:121:74            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:121:155                     keypressedValue                                 -1
  17-03-2024 17:37:43:121:186                      dronePositionY                                 15
  17-03-2024 17:37:43:121:216                      dronePositionX                                 15
  17-03-2024 17:37:43:221:658            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:221:807                     keypressedValue                                 -1
  17-03-2024 17:37:43:221:843                      dronePositionY                                 15
  17-03-2024 17:37:43:221:873                      dronePositionX                                 15
  17-03-2024 17:37:43:322:205            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:322:280                     keypressedValue                                 -1
  17-03-2024 17:37:43:322:312                      dronePositionY                                 15
  17-03-2024 17:37:43:322:342                      dronePositionX                                 15
  17-03-2024 17:37:43:422:769            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:422:876                     keypressedValue                                 -1
  17-03-2024 17:37:43:422:910                      dronePositionY                                 15
  17-03-2024 17:37:43:422:939                      dronePositionX                                 15
  17-03-2024 17:37:43:523:412            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:523:523                     keypressedValue                                 -1
  17-03-2024 17:37:43:523:558                      dronePositionY                                 15
  17-03-2024 17:37:43:523:673                      dronePositionX                                 15
  17-03-2024 17:37:43:624:381            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:624:483                     keypressedValue                                 -1
  17-03-2024 17:37:43:624:519                      dronePositionY                                 15
  17-03-2024 17:37:43:624:551                      dronePositionX                                 15
  17-03-2024 17:37:43:724:728            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:724:836                     keypressedValue                                 -1
  17-03-2024 17:37:43:724:871                      dronePositionY                                 15
  17-03-2024 17:37:43:724:901                      dronePositionX                                 15
  17-03-2024 17:37:43:825:377            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:825:639                     keypressedValue                                 -1
  17-03-2024 17:37:43:825:689                      dronePositionY                                 15
  17-03-2024 17:37:43:825:721                      dronePositionX                                 15
  17-03-2024 17:37:43:926:483            Server performed 1 cycle                                 -
  17-03-2024 17:37:43:926:672                     keypressedValue                                 -1
  17-03-2024 17:37:43:926:722                      dronePositionY                                 15
