                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
   17-03-2024 17:37:39:173:71                          server pid                              23928
  17-03-2024 17:37:39:173:180                              UI pid                              23922
  17-03-2024 17:37:39:173:215                           drone pid                              23923
  17-03-2024 17:37:39:173:395                        watchdog pid                              23926
  17-03-2024 17:37:39:173:447      sent watchdog pid to processes                                 -
  17-03-2024 17:37:40:173:857                         current pid                              23928
  17-03-2024 17:37:40:173:969               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:40:274:952        received response from 23928                                 -
   17-03-2024 17:37:40:275:38                         current pid                              23922
  17-03-2024 17:37:40:275:116               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:40:376:378        received response from 23922                                 -
  17-03-2024 17:37:40:376:473                         current pid                              23923
  17-03-2024 17:37:40:376:553               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:40:477:382        received response from 23923                                 -
  17-03-2024 17:37:40:477:476                         current pid                              23928
  17-03-2024 17:37:40:477:523               sent SIGUSR1 to 23928                                 -
   17-03-2024 17:37:40:578:64        received response from 23928                                 -
  17-03-2024 17:37:40:578:161                         current pid                              23922
  17-03-2024 17:37:40:578:243               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:40:679:273        received response from 23922                                 -
  17-03-2024 17:37:40:679:374                         current pid                              23923
  17-03-2024 17:37:40:679:457               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:40:780:234        received response from 23923                                 -
  17-03-2024 17:37:40:780:340                         current pid                              23928
  17-03-2024 17:37:40:780:410               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:40:881:268        received response from 23928                                 -
  17-03-2024 17:37:40:881:411                         current pid                              23922
  17-03-2024 17:37:40:881:522               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:40:982:103        received response from 23922                                 -
  17-03-2024 17:37:40:982:206                         current pid                              23923
  17-03-2024 17:37:40:982:289               sent SIGUSR1 to 23923                                 -
   17-03-2024 17:37:41:83:695        received response from 23923                                 -
   17-03-2024 17:37:41:83:791                         current pid                              23928
   17-03-2024 17:37:41:83:840               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:41:184:358        received response from 23928                                 -
  17-03-2024 17:37:41:184:454                         current pid                              23922
